Rank,Title,Interventions,URL
5033,Continuous Wireless Monitoring of Vital Signs and Automated Alerts of Patient Deterioration in Patients Admitted With COVID-19 Infection,Device: WARD CSS,https://ClinicalTrials.gov/show/NCT04724681
5034,Cord Blood-Derived Mesenchymal Stem Cells for the Treatment of COVID-19 Related Acute Respiratory Distress Syndrome,Other: Best Practice|Biological: Mesenchymal Stem Cell,https://ClinicalTrials.gov/show/NCT04565665
5035,Efficacy of the Sit to Stand Test in the Decision to Hospitalize a Patient Consulting the Emergency Dept for COVID 19,Diagnostic Test: Sit to stand test,https://ClinicalTrials.gov/show/NCT04730661
5036,A Phase 1b Trial to Evaluate Safety and Effect of SAR443122 on Immune System in Severe COVID-19,Drug: SAR443122|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04469621
5037,Stress Biomarkers Leading to Professional Burnout Among People Involved in a Mobile Intensive Care Unit During the COVID-19 Pandemic,Behavioral: Assessment of work-related stress|Biological: Saliva sample collection|Other: Cardiac and electrodermal recordings|Behavioral: Assessment of behavioral response to emotional stimulation,https://ClinicalTrials.gov/show/NCT04365335
5038,STAND UP to SARS-CoV-2 (COVID-19): Using Behavioural Economics to Reduce Sedentary Behaviour in At-home Office Workers,Behavioral: Assigned Strategies: Opt-in|Behavioral: Assigned Strategies: Active Choice|Behavioral: Assigned Strategies: Enhanced Active Choice|Behavioral: Choice of Assignment: Opt-in|Behavioral: Choice of Assignment: Active Choice|Behavioral: Choice of Assignment: Enhanced Active Choice,https://ClinicalTrials.gov/show/NCT04488796
5039,Evaluation of Serological Techniques for Screening for COVID-19 Infection at the University Hospital of Rouen,Diagnostic Test: Serological testing for COVID-19 infection,https://ClinicalTrials.gov/show/NCT04707833
5040,A Randomized Controlled Feasibility Study of Emotional Well-being of Adolescents Undergoing a Mindfulness Training During COVID-19,"Behavioral: Training for Awareness, Resilience, and Action (TARA)",https://ClinicalTrials.gov/show/NCT04548544
5041,The Validity of Modern Mobile Applications in Management of COVID-19 Home Isolation Patients: a Survey for Health Care Professionals,Other: Survey,https://ClinicalTrials.gov/show/NCT04548492
5042,Prevention of Severe SARS-CoV-2 Infection in Hospitalized Patients With COVID-19,Drug: Ruconest,https://ClinicalTrials.gov/show/NCT04530136
5043,"Pediatric SARS-CoV-2 Infections: Course of COVID-19, Immune Responses, Complications and Long-term Consequences",,https://ClinicalTrials.gov/show/NCT04741412
5044,Low-flow Extracorporeal Carbon Dioxide Removal in COVID-19-associated Acute Respiratory Distress Syndrome,Device: ECCO2R,https://ClinicalTrials.gov/show/NCT04351906
5045,An Online-platform to Improve Patient-centered Care During the COVID-19 Pandemic: a GIMEMA Surveillance Program in Hematologic Malignancies,Other: Quality of life assessment,https://ClinicalTrials.gov/show/NCT04581187
5046,Nitric Oxide Releasing Solutions to Prevent and Treat Mild/Moderate COVID-19 Infection,Drug: NORS (Nitric Oxide Releasing Solution),https://ClinicalTrials.gov/show/NCT04337918
5047,COMPASS Study: an Online Cognitive-behavioural Therapy (CBT) Program Treating Anxiety and Low Mood in Long-term Conditions During the COVID-19 Pandemic,Behavioral: COMPASS|Behavioral: Standard charity resources,https://ClinicalTrials.gov/show/NCT04535778
5048,Use of cSVF Via IV Deployment for Residual Lung Damage After Symptomatic COVID-19 Infection,Procedure: Microcannula Harvest Adipose Derived tissue stromal vascular fraction (tSVF)|Device: Centricyte 1000|Procedure: IV Deployment Of cSVF In Sterile Normal Saline IV Solution|Drug: Liberase Enzyme (Roche)|Drug: Sterile Normal Saline for Intravenous Use,https://ClinicalTrials.gov/show/NCT04326036
5049,ChulaCov19 mRNA Vaccine in Healthy Adults,Biological: ChulaCov19 mRNA vaccine,https://ClinicalTrials.gov/show/NCT04566276
5050,Evaluation of Immunogenicity and Safety of Combined Immunization of COVIV and PPV23 / IIV4,Biological: COVIV+IIV4; COVIV+PPV23|Biological: COVIV only (1st and 2nd dose)|Biological: IIV4 for the 1st dose and PPV23 for the 2nd dose,https://ClinicalTrials.gov/show/NCT04790851
5051,Registry of the Evolution of Diagnosed and/or Hospitalized Patients for Pulmonary Embolism During the Covid-19 Pandemic,Diagnostic Test: Serology test for COVID-19,https://ClinicalTrials.gov/show/NCT04465656
5052,Observatory of Patients With Chronic Lymphocytic Leukemia / Lymphocytic Lymphoma or Waldenstrom Disease Infected With COVID-19,Behavioral: Data registry,https://ClinicalTrials.gov/show/NCT04391946
5053,Implementing and Evaluating a Social-Emotional Learning Program for Refugee Children During the COVID-19 Pandemic,Behavioral: EMPOWER,https://ClinicalTrials.gov/show/NCT04931888
5054,Online Multi-component Psychological Intervention for Prevention of Grief Disorder Due to COVID-19,Behavioral: Online Intervention Grief COVID-19,https://ClinicalTrials.gov/show/NCT04638842
5055,Simple Cognitive Task Intervention After Trauma During COVID-19 In Hospital Staff EKUT-P RCT,Behavioral: Simple cognitive task intervention|Behavioral: Attention Placebo,https://ClinicalTrials.gov/show/NCT04460014
5056,Prone Positioning and Regional Ventilation in Mechanically Ventilated COVID-19 Patients,Other: Prone positioning,https://ClinicalTrials.gov/show/NCT04359407
5057,Training the Innate Immune System Against SARS-CoV-2 (COVID-19) Using the Shingrix Vaccine in Nursing Home Residents,"Biological: SHINGRIX (Zoster Vaccine REcombinant, Adjuvanted)|Drug: Normal Saline",https://ClinicalTrials.gov/show/NCT04523246
5058,Study of Resilience and Loneliness in Youth (18 - 25 Years Old) During the COVID-19 Pandemic Lock-down Measures.,Other: Survey and Questionnaire,https://ClinicalTrials.gov/show/NCT04371250
5059,Extended Post Anaesthetic Care in PACU During COVID-19: Multi-perspective Value-based Analysis,Other: overnight intensive recovery / extended post anaesthetic care in PACU,https://ClinicalTrials.gov/show/NCT04717089
5060,Impact of Burnout on Cardiovascular and Immune Biomarkers in Healthcare Professionals - Covid-19 Pandemic in Abu Dhabi,,https://ClinicalTrials.gov/show/NCT04422418
5061,"Safety and Efficacy of a Non-replicating ChAdOx1 Vector Vaccine AZD1222 (COVISHIELD), for Prevention of COVID-19 in Patients With Liver Cirrhosis",Biological: Covishield,https://ClinicalTrials.gov/show/NCT04794946
5062,"Evaluation of Changes in Weight, Sleep, and Other Psycho-behavioural Parameters During Covid-19 Confinement in Subjects Monitored by the RNPC Network",,https://ClinicalTrials.gov/show/NCT04409197
5063,A Study of the Effectiveness of an Off Label Mefloquine Use for the Treatment of Patients With COVID19,Drug: Mefloquine|Drug: Hydroxychloroquine|Combination Product: Mefloquine + azithromycin + / - tocilizumab|Combination Product: Hydroxychloroquine + azithromycin + / - tocilizumab,https://ClinicalTrials.gov/show/NCT04347031
5064,An Open Randomized Study of Dalargin Effectiveness in Patients With Severe and Critical Manifestations of SARS-COVID-19,Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation.|Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation and Dalargin intramuscular injection|Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation and Dalargin inhalation|Procedure: Standard therapy recommended by the Ministry of Health of the Russian Federation and Dalargin intramuscular injection combined with Dalargin inhalation,https://ClinicalTrials.gov/show/NCT04346693
5065,Mobile Phone Based Intervention to Protect Mental Health in Healthcare Workers at Frontline Against COVID19,Behavioral: Intervention App,https://ClinicalTrials.gov/show/NCT04393818
5066,Quality of Life of Very Preterm Children With Dysexecutive Disorders at Elementary School Age During the Confinement-deconfinement Period of Covid-19 Pandemic,Other: Patient Quality of life assessment|Other: Control group Quality of life assessment,https://ClinicalTrials.gov/show/NCT04696679
5067,Different Susceptibility to SARS CoV-2 Infection Among Health Care Workers Highly Exposed to COVID-19.,Diagnostic Test: Susceptibility to infection,https://ClinicalTrials.gov/show/NCT04402827
5068,"""Increasing Physical Activity in Canadian Adults Affected by COVID-19 Social Distancing Restrictions: A Feasibility Trial of an Online Intervention""",Behavioral: Digital Health Online Platform,https://ClinicalTrials.gov/show/NCT04400305
5069,"Physical Activity, Exercise Capacity and Coronavirus Phobia of Adult Cystic Fibrosis Patients During COVID-19 Pandemic",Other: exercise capacity,https://ClinicalTrials.gov/show/NCT04673331
5070,"Study of Longidaze in the Prevention & Treatment of Pulmonary Fibrosis, Interstitial Lung Diseases Caused by COVID-19",Drug: bovhyaluronidase azoxymer,https://ClinicalTrials.gov/show/NCT04645368
5071,COVID-19 Prevalence in HIV-infected Patients,Other: Blood Sample,https://ClinicalTrials.gov/show/NCT04515225
5072,Assessment of the Psychological Impact of the COVID19 (SARS-CoV-2) Pandemic on Patients With Chronic Inflammatory Rheumatism,Other: questionnaires,https://ClinicalTrials.gov/show/NCT04723407
5073,Asthma in Families Facing Out-of-pocket Requirements Due to COVID-19,Behavioral: insurance navigation,https://ClinicalTrials.gov/show/NCT04613739
5074,BCG Vaccine for Health Care Workers as Defense Against COVID 19,Biological: BCG Vaccine|Biological: Placebo Vaccine,https://ClinicalTrials.gov/show/NCT04348370
5075,Psychological and Ethical Support for Hospital Professionals During the COVID-19 Pandemic: Suitability and Post-crisis Implications for the Experience of All Professionals,Other: online questionnaire|Other: questionnaire survey,https://ClinicalTrials.gov/show/NCT04944394
5076,"Psychological Burden in ICU Survivors of Severe COVID-19 Pneumonia, Their Relatives and Their Healthcare Providers",Behavioral: PTSD|Behavioral: Burnout,https://ClinicalTrials.gov/show/NCT04341519
5077,Electrical Impedance Tomography: Collapse in Dependent Areas as a Predictor of Response to Prone Position Ventilation in COVID-19 Acute Respiratory Distress Syndrome,Device: Electrical Impedance tomography,https://ClinicalTrials.gov/show/NCT04603755
5078,Identifying Critically-ill Patients With COVID-19 Who Will Benefit Most From Nutrition Support Therapy: Validation of the NUTRIC Nutritional Risk Assessment Tool,Other: Nutrition support,https://ClinicalTrials.gov/show/NCT04274322
5079,To Assess the Efficiency and Satisfaction of Pharmacist Giving Patient-centred Advice on Telephone Consultation in TB Patients: Experience of the COVID-19 Pandemic,Behavioral: Patient-centred advice on Telephone Consultation in TB Patients:,https://ClinicalTrials.gov/show/NCT04412239
5080,Efficacy of Therapist Guided e-Therapy Versus Self-Help Therapy on Psychological Distress Among Individuals in Oman During COVID-19 Pandemic,Behavioral: Therapist Guided E-Therapy|Behavioral: Self-Help Therapy,https://ClinicalTrials.gov/show/NCT04378257
5081,Cohort Multiple Randomized Controlled Trials Open-label of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients - Sarilumab Trial - CORIMUNO-19 - SARI,Drug: Sarilumab,https://ClinicalTrials.gov/show/NCT04324073
5082,HDL Target of CoViD19 ? Analysis on the Caregivers of the Reunion University Hospital,Other: research specific blood sample,https://ClinicalTrials.gov/show/NCT04384705
5083,Study of Late Fetal Loss in Poitou-Charentes. GYNE-COVID,Diagnostic Test: Identification by PCR of the SARS-COV-2 virus in samples taken from the fetus,https://ClinicalTrials.gov/show/NCT04387253
5084,Online Cognitive Behavioral Therapy (CBT) for Stress Disorders in Health Workers Involved in the Care of Patients During the Covid-19 Epidemic,Behavioral: Online cognitive behavioral therapy (CBT)|Behavioral: Online bibliotherapy programme,https://ClinicalTrials.gov/show/NCT04362358
5085,THE ROLE OF MANUAL ACUPUNCTURE USING PRESS NEEDLES COMPARED WITH FILIFORM NEEDLES IN IMPROVING SYMPTOMS OF INSOMNIA AND MELATONIN HORMONE FOR HEALTHCARE WORKERS TREATING COVID-19 PATIENTS.,Procedure: Press needles|Procedure: Filiform Needles,https://ClinicalTrials.gov/show/NCT04872712
5086,Safety and Efficacy of Intravenous Wharton's Jelly Derived Mesenchymal Stem Cells in Acute Respiratory Distress Syndrome Due to COVID 19,"Drug: Wharton's jelly derived Mesenchymal stem cells.|Drug: Hydroxychloroquine, lopinavir/ritonavir or azithromycin and placebo (standard therapy)",https://ClinicalTrials.gov/show/NCT04390152
5087,Personalised Electronic Record Supported Optimisation When Alone for Patients With Hypertension- Pilot Study for Remote Medical Management of Hypertension During the COVID-19 Pandemic,Drug: Amlodipine,https://ClinicalTrials.gov/show/NCT04559074
5088,"A Study to Evaluate the Safety, Tolerability and Pharmacokinetics of Orally Inhaled Aerosolized Hydroxychloroquine Sulfate in Healthy Adult Volunteers",Drug: Aerolized Hydroxychloroquine Sulfate|Other: Placebo,https://ClinicalTrials.gov/show/NCT04461353
5089,Incidence of Deep Vein Thrombosis at Doppler Echo in Covid-19 Patients With SARS-Cov-2 Pneumopathy Hospitalized in ICU,Other: Doppler Echo,https://ClinicalTrials.gov/show/NCT04363528
5090,Measurement of Airway Opening Pressure (AOP) in Patients With Acute Respiratory Distress Syndrom and With or Without Covid 19.,,https://ClinicalTrials.gov/show/NCT04386720
5091,Ethical and Psychological Support for Health Care Professions in Intensive Care Units in the COVID19 Pandemic Context: Adequacy With Needs and Psychological Impact Crisis and Post-crisis,Other: Questionnaires|Other: psychological and sociological interviews,https://ClinicalTrials.gov/show/NCT04441476
5092,Camostat Mesilate Treating Patients With Hospitalized Patients With COVID-19,Drug: Camostat Mesilate|Other: Standard of Care,https://ClinicalTrials.gov/show/NCT04470544
5093,"Online Multi-component Psychological Intervention for Anxiety, Depression, and Burnout on Healthcare Workers During the COVID-19 Pandemic",Behavioral: Online psychological intervention for healtchare workers,https://ClinicalTrials.gov/show/NCT04890665
5094,Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations,,https://ClinicalTrials.gov/show/NCT04279795
5095,A Study to Test Whether Different Doses of Alteplase Help People With Severe Breathing Problems Because of COVID-19,Drug: Alteplase|Procedure: Standard of care,https://ClinicalTrials.gov/show/NCT04640194
5096,Clinical Features of Suspected and Confirmed Patients of 2019 Novel Coronavirus Infection,Other: Comprehensive treatment,https://ClinicalTrials.gov/show/NCT04279782
5097,The Effects of Smoking on Mortality in Patients With Acute Respiratory Syndrome Coronavirus 2 Infection,Other: no intervention,https://ClinicalTrials.gov/show/NCT04874363
5098,Tear Film SARS-nCoV-2 Detection in Symptomatic and Pauci-symptomatic Patients.,Diagnostic Test: swabbing of conjunctiva,https://ClinicalTrials.gov/show/NCT04799704
5099,Intravenous L-Citrulline to Delay and Potentially Prevent the Need for Invasive Mechanical Ventilation for Acute Hypoxemic Respiratory Failure in Patients With COVID-19 (SARS-CoV-2) Illness,Drug: L-Citrulline|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04570384
5100,EU SolidAct: An Adaptive Pandemic and Emerging Infection Platform Trial,Drug: Baricitinib|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04891133
5101,"Outpatient Clinic in Obesity Care During COVID-19 Outbreak: Physically Far, Virtually Near",Other: Telemedicine to remote outpatient visit in bariatric patient,https://ClinicalTrials.gov/show/NCT04407663
5102,SARS-CoV-2 Donor-Recipient Immunity Transfer,Procedure: Biospecimen Collection|Other: Diagnostic Laboratory Biomarker Analysis|Other: Electronic Health Record Review|Other: Questionnaire Administration,https://ClinicalTrials.gov/show/NCT04666025
5103,Turkish of the SARS-CoV-2 Anxiety Scale,Other: survey work,https://ClinicalTrials.gov/show/NCT04490473
5104,Safety and Effectiveness of Low-flow ECMO Driving by CVVH Machine in Severe NCP,Device: Low flow ECMO driving by CVVH machine,https://ClinicalTrials.gov/show/NCT04340414
5105,Clinical Characteristics and Outcomes of Pediatric COVID-19,Other: Exposure (not intervention) - SARS-CoV-2 infection,https://ClinicalTrials.gov/show/NCT04330261
5106,Phase I Clinical Study of Recombinant Novel Coronavirus Vaccine,Biological: Recombinant new coronavirus vaccine (CHO cell) low-dose group|Biological: Recombinant new coronavirus vaccine (CHO cells) high-dose group|Biological: Recombinant new coronavirus vaccine (CHO cells) placebo group,https://ClinicalTrials.gov/show/NCT04445194
5107,Efficacy of COVID-19 Vaccination in Patientstreated With Anti-CD20 for Follicular Lymphoma or Mantle Cell Lymphoma,Biological: Determination of COVID-19 vacciantion efficacy,https://ClinicalTrials.gov/show/NCT04918940
5108,Methylprednisolone in the Treatment of Patients With Signs of Severe Acute Respiratory Syndrome in Covid-19,Drug: Methylprednisolone Sodium Succinate|Drug: Placebo solution,https://ClinicalTrials.gov/show/NCT04343729
5109,Finding Wellness in the Pandemic,Behavioral: Trauma Informed Yoga|Behavioral: Trauma Informed Psychotherapy,https://ClinicalTrials.gov/show/NCT04615741
5110,Apparatus and Method for Moving Patients,Device: assist,https://ClinicalTrials.gov/show/NCT04882865
5111,Pandemia And Exercise in Turkey in University Students of Turkey,Other: survey,https://ClinicalTrials.gov/show/NCT04757207
5112,Mask Adhesive Institutional Study,Device: Mask with Mask Adhesive/Arm 1|Device: Mask without Mask Adhesive / Arm 2,https://ClinicalTrials.gov/show/NCT04644276
5113,A Research Platform to Screen Healthcare Workers,Diagnostic Test: Nasopharyngeal swab|Other: Questionnaire collection|Other: Optional blood completion|Other: Optional questionnaire completion,https://ClinicalTrials.gov/show/NCT04574765
5114,Study of Descartes-30 in Acute Respiratory Distress Syndrome,Biological: Descartes 30,https://ClinicalTrials.gov/show/NCT04524962
5115,imPROving prenaTal carE During ConfinemenT,Other: Remote consultation,https://ClinicalTrials.gov/show/NCT04368832
5116,Impact Nerium Oleander on Immune Function,Other: Proprietary extract of Nerium oleander,https://ClinicalTrials.gov/show/NCT04486144
5117,A Study in Healthy Subjects to Assess Bioavailability (Proportion of a Drug Which Enters the Circulation to Have an Active Effect) of Acalabrutinib Tablet and Protonpump Inhibitor Effect (Members of a Class of Medications That Inhibits in Gastric Acid Production) for Rabeprazole,Drug: Acalabrutinib Treatment A|Drug: Acalabrutinib Treatment B|Drug: Acalabrutinib Treatment C|Drug: Acalabrutinib Treatment D,https://ClinicalTrials.gov/show/NCT04564040
5118,Containment Measures and Eating Disorders,,https://ClinicalTrials.gov/show/NCT04492189
5119,Descriptive Study of the PSYchological Impact of CONFinement Measures in the General Population,Other: Slef questionnaires fulfilment,https://ClinicalTrials.gov/show/NCT04374643
5120,Inflammatory Bowel Disease (IBD) and Covid-19 Infection,,https://ClinicalTrials.gov/show/NCT04492267
5121,Systems Analyses of the Immune Response to the Seasonal Influenza Vaccine,Biological: Flucelvax|Biological: Fluvirin|Biological: Fluzone High Dose,https://ClinicalTrials.gov/show/NCT04025580
5122,Closed-Loop Oxygen to Verify That Healthcare Workers Interventions Decrease During SARS-CoV-2 Pneumonia (COVID-19),Other: Standard administration of oxygen flow|Device: Automated oxygen administration - FreeO2,https://ClinicalTrials.gov/show/NCT04320056
5123,"Systematic Offer of Nurse-Driven Screening for COVID-19 in Emergency Departments in the Paris Metropolitan Area, DEPIST-COVID",Procedure: Systematic offer of nurse-driven SARS-CoV-2 screening combined with usual practice|Other: Usual emergency department practice with physician-directed diagnostic testing,https://ClinicalTrials.gov/show/NCT04756609
5124,Prevention of Complications (SARS-CoV-2): Clinical Study,Drug: Control group (standard hospital treatment)|Drug: Group Hydroxychloroquine|Drug: Group Hydroxychloroquine and apixaban|Drug: Group Apixaban,https://ClinicalTrials.gov/show/NCT04788355
5125,"""COVID-19 and Diabetes Outcomes""",Other: no interventional study,https://ClinicalTrials.gov/show/NCT04324736
5126,Early Prone Position on Coronavirus Disease 2019 Pneumonia,Behavioral: prone position,https://ClinicalTrials.gov/show/NCT04427969
5127,CORIMUNO-ANA: Trial Evaluating Efficacy Of Anakinra In Patients With Covid-19 Infection,Drug: Anakinra,https://ClinicalTrials.gov/show/NCT04341584
5128,Neurological Features During COVID19,Other: Observation,https://ClinicalTrials.gov/show/NCT04460599
5129,Exploring the Immune Response to SARS-CoV-2 COVID-19 Vaccines in Patients With Relapsing Multiple Sclerosis (RMS) Treated With Ofatumumab,Drug: Ofatumumab,https://ClinicalTrials.gov/show/NCT04869358
5130,Optimisation of ASthma In Those With Uncontrolled Symptoms (OASIS),Device: ReferID,https://ClinicalTrials.gov/show/NCT04941001
5131,Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus,,https://ClinicalTrials.gov/show/NCT04292327
5132,Resilience and Coping in a Rare Skeletal Disease Population to Face Coronavirus (COVID-19) Outbreak Distress: a Longitudinal Study,,https://ClinicalTrials.gov/show/NCT04844697
5133,Association Between Body Mass Index and HFNC Therapy Success,,https://ClinicalTrials.gov/show/NCT04799132
5134,Asymptomatic COVID-19 Infection Among Healthcare Workers,Diagnostic Test: Serum SARs COV 2 IGg screening in health care workers,https://ClinicalTrials.gov/show/NCT04354792
5135,PREPARE-IBD: Physician Responses to Disease Flares and Patient Adaptation in Relation to Events in Inflammatory Bowel Disease During COVID-19 Pandemic,,https://ClinicalTrials.gov/show/NCT04410484
5136,Epidemiological and Demographic Data From 150 Patients Diagnosed With Coronavirus Disease 2019 Pneumonia,Other: epidemiological and demographic characteristics,https://ClinicalTrials.gov/show/NCT04430023
5137,Post-exposure Prophylaxis / Preemptive Therapy for SARS-Coronavirus-2,Drug: Hydroxychloroquine|Other: Placebo,https://ClinicalTrials.gov/show/NCT04308668
5138,Convalescent Plasma Collection and Treatment in Pediatrics and Adults,Biological: Convalescent Plasma 1 Unit|Biological: Convalescent Plasma 2 Units|Other: Standard of Care,https://ClinicalTrials.gov/show/NCT04376034
5139,Umbilical Cord(UC)-Derived Mesenchymal Stem Cells(MSCs) Treatment for the 2019-novel Coronavirus(nCOV) Pneumonia,Biological: UC-MSCs,https://ClinicalTrials.gov/show/NCT04269525
5140,Viral Excretion in Contact Subjects at High/Moderate Risk of Coronavirus 2019-nCoV Infection. COVID-19.,Biological: 2019-nCoV PCR,https://ClinicalTrials.gov/show/NCT04259892
5141,COVID-19 - Multicenter Study on Nosocomial Transmission of SARS-CoV-2 Virus,Other: nosocomial infection/hospital acquired infection,https://ClinicalTrials.gov/show/NCT04290780
5142,Study of the Specific Seroprevalence of SARS-CoV-2 in a Sample of Patients and Salaried Staff From a French Anti-cancer Center at the End of the Containment Period of the SARS-CoV-2 Pandemic,Biological: blood sample,https://ClinicalTrials.gov/show/NCT04517097
5143,COVID-19 Pandemic Response Network,,https://ClinicalTrials.gov/show/NCT04320862
5144,Safety and Efficacy Evaluation of CO2 Removal in Combination With Continuous Veno-Venous Hemodialysis/Hemodiafiltration Therapy,Device: multiECCO2R blood-gas exchanger,https://ClinicalTrials.gov/show/NCT04871893
5145,Regional COVID Epidemiology in England (RECEDE),Other: No intervention,https://ClinicalTrials.gov/show/NCT04579562
5146,Biomarkers for Identification of COVID-19 Infection,Diagnostic Test: Biomarkers expression,https://ClinicalTrials.gov/show/NCT04322513
5147,Oral Manifestation in Patients With SARS-CoV2 Infection.,,https://ClinicalTrials.gov/show/NCT04821986
5148,COVID-19 - Multicentre Study on Nosocomial Transmission of SARS-CoV-2 Virus: an Ancillary Study (NOSO-COR IMMUNO),"Other: Collection of blood, salivary and nasopharyngeal samples.",https://ClinicalTrials.gov/show/NCT04637867
5149,IgG Antibodies After SARS-CoV-2 mRNA Vaccine in Kidney Transplantation (TASMANIA),Diagnostic Test: anti-spike SARS-CoV-2 IgG,https://ClinicalTrials.gov/show/NCT04832841
5150,COVID-19 Treatment of Severe Acute Respiratory Syndrome With Veru-111,Drug: Veru-111,https://ClinicalTrials.gov/show/NCT04388826
5151,Use of Angiotensin-(1-7) in COVID-19,Drug: Angiotensin-(1-7)|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04633772
5152,"COVID-19 Patients Characterization, Biobank, Treatment Response and Outcome Predictor",Other: Observational Study,https://ClinicalTrials.gov/show/NCT04318366
5153,Non Inferiority Trial for Detection of nCOVID-19 Through Analysis of Exhaled Breath Aerosols,Device: Breath Biopsy face masks with removable filters and fitted PVA strip,https://ClinicalTrials.gov/show/NCT04467112
5154,Triggers for Post-Viral Parosmia After Covid and Non-Covid Infections,,https://ClinicalTrials.gov/show/NCT04868435
5155,Covid-19 Convalescent Plasma as Prevention and Treatment for Children With Underlying Medical Conditions,Biological: anti-SARS-CoV-2 human convalescent plasma,https://ClinicalTrials.gov/show/NCT04462848
5156,ERN ReCONNET Study on COVID-19 Vaccination in Rare and Complex Connective Tissue Disease (VACCINATE),,https://ClinicalTrials.gov/show/NCT04702295
5157,Do Angiotensin Receptor Blockers Mitigate Progression to Acute Respiratory Distress Syndrome With SARS-CoV-2 Infection,Drug: Losartan,https://ClinicalTrials.gov/show/NCT04340557
5158,"SARS-CoV-2 (COVID-19) Longitudinal Study: Understanding Susceptibility, Transmission and Disease Severity (Legacy Study)",,https://ClinicalTrials.gov/show/NCT04750356
5159,Intensive Care Anxiety in SARS-CoV-2 Patients,Behavioral: Hospital Anxiety Depression Measure,https://ClinicalTrials.gov/show/NCT04715477
5160,A First-in-Human Study of AV-001 in Healthy Subjects,Drug: AV-001|Other: Placebo,https://ClinicalTrials.gov/show/NCT04737486
5161,Severe Acute Respiratory Syndrome Corona Virus 2 (SARS-CoV-2) Immune Kidney Transplant Study (COVID-19),Drug: SARS-CoV-2 vaccine,https://ClinicalTrials.gov/show/NCT04747522
5162,The Impact of the COVID-19 (SARS-CoV-2 Disease) on Psychopathology,Other: Psychometric scale administration,https://ClinicalTrials.gov/show/NCT04694482
5163,COVID-19 Vaccine (ChAdOx1 nCoV-19) Trial in South African Adults With and Without HIV-infection,Biological: ChAdOx1 nCoV-19|Biological: Normal saline 0.9%,https://ClinicalTrials.gov/show/NCT04444674
5164,Acute Respiratory Failure and COVID-19 in Real Life,Other: standard operating procedures,https://ClinicalTrials.gov/show/NCT04307459
5165,Safety and Immunogenicity of Inactivated Vaccine Against COVID-19 Infection,Biological: SARS-Cov-2 neutralizing antibody titer,https://ClinicalTrials.gov/show/NCT04756271
5166,Factors Associated With a Positive SARS-CoV-2 Serology in Contact Subjects at High/Moderate Risk of Coronavirus SARS-CoV-2 Infection. COVID19.,Diagnostic Test: Serology|Genetic: Sequencing,https://ClinicalTrials.gov/show/NCT04322279
5167,Role of Children in Transmission of COVID-19 to Immunocompromised Patients,,https://ClinicalTrials.gov/show/NCT04407546
5168,Open Label Extension Study to Assess the Safety and Long-Term Immunogenicity of ARCT-021,Biological: ARCT-021,https://ClinicalTrials.gov/show/NCT04728347
5169,Study of the Incidence of SARS-CoV-2 Infection (COVID-19),Other: blood sampling,https://ClinicalTrials.gov/show/NCT04429594
5170,Immune Response to SARS-CoV-2 (COVID-19) Vaccines in Patients With Chronic Lymphocytic Leukemia or Small Lymphocytic Lymphoma,Procedure: Biospecimen Collection|Other: Electronic Health Record Review,https://ClinicalTrials.gov/show/NCT04852822
5171,Outcomes in Hospitalized Older Patients With COVID-19,,https://ClinicalTrials.gov/show/NCT04385212
5172,Student-delivered Telehealth Program for COVID-19 Education and Health Promotion,Behavioral: Telehealth coaching sessions,https://ClinicalTrials.gov/show/NCT04492527
5173,Annexin A1 Levels in SARS-CoV-2 Infection,Other: Blood serum samples,https://ClinicalTrials.gov/show/NCT04948229
5174,Technology-enabled Collaborative Care for Diabetes Management During COVID-19,Behavioral: Intervention for TECC Model,https://ClinicalTrials.gov/show/NCT04607915
5175,To Assess Immunogenicity of Coronavirus Disease 2019 (COVID-19) Vaccine in Cancer Patients Receiving Cancer Treatment,Biological: COVID-19 Vaccine,https://ClinicalTrials.gov/show/NCT04821570
5176,Study of Clinical and Immune Severity Profiles of Patients Infected With SARS-Cov2 (COVID-19),,https://ClinicalTrials.gov/show/NCT04365166
5177,Using PRP and Cord Blood in Treatment of Covid -19,Combination Product: stem cells,https://ClinicalTrials.gov/show/NCT04393415
5178,Th1/Th2/Th17/TREG and TLRs Activation/KIR for COVID 19 Prediction of Outcome,Diagnostic Test: Cytokines measurement|Diagnostic Test: Cellular response|Diagnostic Test: TLRs activation measurement|Diagnostic Test: KIR phenotype evaluation,https://ClinicalTrials.gov/show/NCT04403061
5179,Self-Collected Saliva Samples Without Viral Transport Media for COVID-19 Testing Via RT-PCR,Diagnostic Test: SARS-CoV-2 testing on the Eppendorf Thermal Cycler PCR system using self-collected saliva as the specimen,https://ClinicalTrials.gov/show/NCT04604145
